MONTH,TIME EVENT BEGAN,TIME OF RESTORATION,AREA AFFECTED,NERC REGION,ALERT CRITERIA,EVENT TYPE,DEMAND LOSS (MW),NUMBER OF CUSTOMERS AFFECTED,STATE
November,11/30/2006 18:00,11/30/2006 21:00,Missouri and Illinois,"MRO,RF,SERC",Unknown,Severe Weather - Winter/Snow/Ice,86,550000,"Missouri,Illinois"
December,12/1/2006 6:00,12/1/2006 18:20,Ohio,RF,Unknown,Severe Weather - Wind,491,59106,Ohio
December,12/10/2006 19:35,12/10/2006 22:14,"San Francisco Bay area, California",WECC,Unknown,Equipment Failure,220,103721,California
December,12/13/2006 4:30,12/13/2006 23:59,Western Washington,WECC,Unknown,Severe Weather - Wind,586,700000,Washington
December,12/14/2006 0:01,12/14/2006 8:00,"City of Seattle, Washington",WECC,Unknown,Severe Weather - Wind,750,175000,Washington
December,12/14/2006 5:30,12/14/2006 22:00,"Snohomish County, Washington",WECC,Unknown,Severe Weather - Wind,360,172060,Washington
December,12/14/2006 9:44,12/14/2006 14:34,"Oregon, Washington, Idaho, Montana",WECC,Unknown,Severe Weather - Wind,258,24,"Oregon,Washington,Idaho,Montana"
December,12/14/2006 12:00,12/14/2006 12:07,State of Oregon Coastal area,WECC,Unknown,Severe Weather - Wind,137,111000,Washington
December,12/14/2006 16:00,12/14/2006 17:00,"Greater Tacoma area (City of Fircrest, University Place, City of Lakeland) and portions of South Pierce County in State of Washington",WECC,Unknown,Severe Weather - Wind,280,75000,Washington
December,12/14/2006 19:00,12/14/2006 20:00,"Oregon Counties: Multnomah, Clackamas, Washington, Marion",WECC,Unknown,Severe Weather - Wind,283,249500,California
December,12/16/2006 1:00,12/16/2006 19:30,"Oregon Counties:  Washington, Yamhill",WECC,Unknown,Fire/Wildfire,350,84500,Oregon
December,12/26/2006 0:01,12/26/2006 9:13,Northern California,WECC,Unknown,Severe Weather - Unspecified/Other,420,850068,California
December,12/29/2006 16:25,12/29/2006 18:59,North Part of the Island,PR,Unknown,Equipment Failure,50,18386,Puerto Rico
December,12/30/2006 14:25,12/30/2006 22:25,"Gosper, Harlan, Franklin, Webster, Clay, Adams, Kearney, Phelps, Dawson, Buffalo, Hall, Hamilton, Sherman, Custer, Valley, Greeley, Howard, Merrick, York, Fillmore, Nance, Boone, Wheeler, Madison, Antelope, Pierce, Platte and Seward Counties in Central Nebraska",MRO,Unknown,Severe Weather - Unspecified/Other,500,15000,Nebraska
December,12/31/2006 13:00,12/31/2006 16:30,Restricted Hydroelectric Capability,WECC,Unknown,Generation Inadequacy Load/Fuel/Supply,127,103467,
December,12/31/2006 20:00,12/31/2006 23:30,Hydro Electric System,WECC,Unknown,Generation Inadequacy Load/Fuel/Supply,242,121257,
January,1/5/2007 10:44,1/5/2007 11:13,Island of Puerto Rico,PR,Unknown,Unknown/Unspecified,0,0,Puerto Rico
January,1/13/2007 5:00,1/13/2007 12:00,Missouri and Illinois,"MRO,RF,SERC",Unknown,Severe Weather - Winter/Snow/Ice,1574,225000,"Missouri,Illinois"
January,1/13/2007 7:30,1/13/2007 16:00,Eastern and Lower Michigan,RF,Unknown,Severe Weather - Winter/Snow/Ice,500,129607,Michigan
January,1/16/2007 2:00,1/17/2007 0:00,"Snohomish County, Washington",WECC,Unknown,Severe Weather - Wind,260,110433,Washington
February,2/13/2007 5:30,2/13/2007 17:00,Central Maryland,RF,Unknown,Severe Weather - Winter/Snow/Ice,250,367500,Maryland
February,2/13/2007 14:00,2/14/2007 0:00,Indiana and Southwest Ohio,RF,Unknown,Severe Weather - Winter/Snow/Ice,400,155183,"Indiana,Ohio"
February,2/24/2007 0:47,2/24/2007 19:23,"Cedar Rapids, Iowa",RF,Unknown,Severe Weather - Winter/Snow/Ice,210,75000,Iowa
February,2/24/2007 0:57,2/24/2007 16:00,"NE quarter of State of Iowa and Rock Island, Illinois","MRO,RF,SERC",Unknown,Severe Weather - Winter/Snow/Ice,400,140000,"Iowa,Illinois"
February,2/24/2007 18:00,2/24/2007 23:47,Central Iowa and Cedar Rapids areas,MRO,Unknown,Severe Weather - Winter/Snow/Ice,750,215000,Iowa
February,2/28/2007 0:45,2/28/2007 20:45,Northern California,WECC,Unknown,Severe Weather - Winter/Snow/Ice,110,671189,California
March,3/1/2007 21:40,3/1/2007 23:30,"Parts of Alabama, Mississippi, Georgia, Florida",SERC,Unknown,Severe Weather - Unspecified/Other,95,25445,"Alabama,Mississippi,Georgia,Florida"
March,3/31/2007 7:30,3/31/2007 19:00,"Houston, Texas",TRE,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,179,67000,Texas
April,4/5/2007 13:10,4/5/2007 21:20,Southern and Coastal Maine,NPCC,Unknown,Severe Weather - Winter/Snow/Ice,526,117142,Maine
April,4/12/2007 0:32,4/12/2007 21:02,"City of Los Angeles, California",WECC,Unknown,Severe Weather - Wind,200,158977,California
April,4/12/2007 9:09,4/12/2007 11:23,"San Francisco Bay Area, California",WECC,Unknown,Equipment Failure,130,45632,California
April,4/14/2007 9:00,4/14/2007 11:00,"Massachusetts, New Hampshire, Rhode Island",NPCC,Unknown,Severe Weather - Wind,70,70000,"Massachusetts,New Hampshire,Rhode Island"
April,4/16/2007 8:00,4/16/2007 19:00,New Hampshire,NPCC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,459,102568,New Hampshire
April,4/16/2007 10:14,4/16/2007 22:18,Southern and Coastal Maine,NPCC,Unknown,Severe Weather - Winter/Snow/Ice,522,127545,Maine
April,4/16/2007 11:00,4/16/2007 19:00,North and South Carolina,SERC,Unknown,Severe Weather - Wind,418,33000,"North Carolina,South Carolina"
April,4/16/2007 14:00,4/16/2007 17:00,Central Maryland - Baltimore City and surrounding Counties,RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,160,138000,Maryland
April,4/16/2007 14:04,4/16/2007 19:03,"North, East and Central Virginia/Parts of Northeast North Carolina",SERC,Unknown,Severe Weather - Wind,90,242000,Virginia
May,5/2/2007 13:30,5/2/2007 20:00,"North Texas, Dallas Fort Worth Metroplex and Surrounding Counties, South to Waco and North to Red River","TRE,SPP",Unknown,Severe Weather - Unspecified/Other,364,300000,Texas
May,5/10/2007 9:57,5/10/2007 13:47,"San Francisco Bay Area, California",WECC,Unknown,Equipment Failure,150,41079,"Idaho,Oregon"
May,5/14/2007 11:15,5/14/2007 13:50,"San Francisco Bay Area, California",WECC,Unknown,Equipment Failure,150,40046,Utah
May,5/15/2007 7:00,5/15/2007 15:00,Southeastern Michigan,RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,500,66000,Michigan
May,5/16/2007 5:00,5/16/2007 18:00,All of Connecticut,NPCC,Unknown,Severe Weather - Unspecified/Other,317,67000,Connecticut
May,5/21/2007 13:48,5/21/2007 16:50,"San Franscisco Bay Area, California",WECC,Unknown,Equipment Failure,140,54613,California
June,6/5/2007 10:56,6/5/2007 11:51,Southwest Idaho and Eastern Oregon,WECC,Unknown,Unknown/Unspecified,424,80000,Oregon
June,6/27/2007 15:41,6/27/2007 16:30,"Northern Manhattan NY (Yorkville) and SW Bronx (Motthaven, Melrose, High Bridge Sections)",NPCC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,460,137000,New York
June,6/27/2007 15:42,6/27/2007 16:30,New York State,NPCC,Unknown,Unknown/Unspecified,460,124817,New York
June,6/29/2007 9:23,6/29/2007 10:09,Metropolitan Phoenix Area,WECC,Unknown,Unknown/Unspecified,399,98700,Arizona
July,7/3/2007 10:59,7/3/2007 18:00,CAISO Controlled Grid,WECC,Unknown,Unknown/Unspecified,545,96228,California
July,7/5/2007 7:00,7/5/2007 19:00,Southeastern Michigan,RF,Unknown,Severe Weather - Unspecified/Other,603,69000,Michigan
July,7/6/2007 17:18,7/6/2007 18:20,Southeast Idaho and Eastern Oregon,WECC,Unknown,Unknown/Unspecified,60,0,"Idaho,Oregon"
July,7/10/2007 6:00,7/10/2007 11:00,Eastern New York,NPCC,Unknown,Severe Weather - Unspecified/Other,650,300000,New York
July,7/16/2007 16:17,7/16/2007 21:00,"St. George, Utah",WECC,Unknown,Fire/Wildfire,306,107300,California
July,7/18/2007 2:00,7/18/2007 18:00,Northern Counties of Illinois,RF,Unknown,Severe Weather - Unspecified/Other,300,135000,Illinois
July,7/19/2007 15:00,7/19/2007 23:30,Southwestern Region of Service Territory,"RF,SERC",Unknown,Severe Weather - Unspecified/Other,517,60000,"Arkansas,Louisiana,Texas"
July,7/19/2007 15:50,7/19/2007 22:15,"North, East and Central Virginia",SERC,Unknown,Severe Weather - Unspecified/Other,72,107000,Virginia
August,8/8/2007 13:00,8/8/2007 21:00,Portions of North Carolina and South Carolina,SERC,Unknown,Generation Inadequacy Load/Fuel/Supply,1035,158968,"North Carolina,South Carolina"
August,8/8/2007 15:56,8/8/2007 17:59,Mid-Altantic Region of PJM,"RF,SERC",Unknown,Unknown/Unspecified,887,137135,"District of Columbia,Delaware,Maryland,New Jersey,North Carolina,Pennsylvania,Tennessee,Virginia,West Virginia,District of Columbia"
August,8/9/2007 12:45,8/9/2007 21:00,Portions of North Carolina and South Carolina,SERC,Unknown,Generation Inadequacy Load/Fuel/Supply,1042,161627,"North Carolina,South Carolina"
August,8/9/2007 14:53,8/9/2007 16:11,"Highland Area of Pittsburgh, Pennsylvania",RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,90,55000,Pennsylvania
August,8/10/2007 12:20,8/10/2007 21:00,Portions of North Carolina and South Carolina,SERC,Unknown,Generation Inadequacy Load/Fuel/Supply,1035,162341,"North Carolina,South Carolina"
August,8/13/2007 1:30,8/14/2007 0:00,State of Missouri,SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,567,63000,Missouri
August,8/14/2007 14:00,8/14/2007 18:00,"CSWS Control Area of Southwest Power Pool Parts of Oklahoma, Texas, Louisiana, Arkansas","MRO,SERC,TRE",Unknown,Severe Weather - Heat Wave,20,147849,"Oklahoma,Texas,Louisiana,Arkansas"
August,8/16/2007 21:30,8/16/2007 22:49,Virginia and Eastern North Carolina - Primarily in Central Virginia,SERC,Unknown,Severe Weather - Unspecified/Other,200,93300,"Virginia,Virginia"
August,8/19/2007 1:10,8/19/2007 23:34,Central and Eastern Virginia,SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,100,58500,Virginia
August,8/23/2007 16:00,8/23/2007 22:49,Northern Illinois,RF,Unknown,Severe Weather - Unspecified/Other,920,629590,Illinois
August,8/24/2007 6:30,8/24/2007 18:00,Southeastern Michigan,RF,Unknown,Severe Weather - Unspecified/Other,930,75000,Michigan
August,8/29/2007 13:53,8/29/2007 14:57,Modesto California and the Surrounding Areas,WECC,Unknown,Unknown/Unspecified,180,26000,California
August,8/29/2007 16:00,8/29/2007 18:00,CAISO Controlled Grid,WECC,Unknown,Generation Inadequacy Load/Fuel/Supply,758,154670,California
August,8/31/2007 12:45,8/31/2007 20:00,CAISO Controlled Grid,WECC,Unknown,Severe Weather - Heat Wave,860,172849,California
September,9/3/2007 12:30,9/3/2007 17:30,"San Diego County, Southern Orange County, California",WECC,Unknown,Severe Weather - Heat Wave,970,220097,California
September,9/4/2007 8:30,9/4/2007 15:30,"San Diego County, Southern Orange County, California",WECC,Unknown,Severe Weather - Heat Wave,958,219618,California
September,9/5/2007 7:53,9/5/2007 13:11,"Central Texas, ERCOT Grid",TRE,Unknown,Severe Weather - Unspecified/Other,1084,213304,Texas
September,9/13/2007 4:00,9/13/2007 7:00,"Between Galveston and Beaumont, Texas",TRE,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,710,118000,Texas
September,9/17/2007 19:01,9/17/2007 19:48,"City of Crawfordsville, Indiana",RF,Unknown,Unknown/Unspecified,50,9600,Indiana
September,9/18/2007 5:14,9/19/2007 0:00,"Minnesota, Wisconsin, North Dakota, South Dakota and Michigan",MRO,Unknown,Unknown/Unspecified,10016,17175,"Minnesota,Wisconsin,North Dakota,South Dakota,Michigan,Manitoba Canada"
September,9/24/2007 13:38,9/24/2007 16:26,Southwest Michigan,RF,Unknown,Equipment Failure,320,228661,Michigan
October,10/18/2007 11:36,10/18/2007 15:00,Western Washington,WECC,Unknown,Severe Weather - Wind,448,160000,Washington
October,10/22/2007 14:01,10/22/2007 14:22,Southern California,WECC,Unknown,Fire/Wildfire,700,300000,California
October,10/22/2007 14:06,10/22/2007 14:43,"San Diego County, California",WECC,Unknown,Fire/Wildfire,199,68780,Utah
October,10/26/2007 6:44,10/26/2007 10:43,"Riverside, California",WECC,Unknown,Unknown/Unspecified,240,104000,California
October,10/26/2007 6:44,10/26/2007 10:46,Southern Califonia,WECC,Unknown,Fire/Wildfire,280,20345,California
November,11/3/2007 6:00,11/3/2007 18:00,"Eastern Massachusetts, Rhode Island, Cape Cod",NPCC,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,100,62843,"Massachusetts,Rhode Island"
December,12/1/2007 18:04,12/1/2007 22:00,State of Maine,NPCC,Unknown,Generation Inadequacy Load/Fuel/Supply,0,0,Maine
December,12/4/2007 14:16,12/4/2007 17:53,Island of Puerto Rico,PR,Unknown,Unknown/Unspecified,0,0,Puerto Rico
December,12/10/2007 3:08,12/10/2007 8:00,"Tulsa, Oklahoma",MRO,Unknown,Severe Weather - Winter/Snow/Ice,168,256663,Oklahoma
December,12/11/2007 4:00,12/11/2007 15:30,Eastern half of the State of Kansas,MRO,Unknown,Severe Weather - Winter/Snow/Ice,500,95000,Kansas
December,12/11/2007 20:57,12/11/2007 21:22,Island of Puerto Rico,PR,Unknown,Unknown/Unspecified,0,0,Puerto Rico
December,12/23/2007 1:00,12/23/2007 21:00,The Entire ComEd Service Territory,RF,Unknown,Severe Weather - Unspecified/Other,498,237000,Illinois
December,12/23/2007 5:30,12/23/2007 18:07,Lower 2/3 of Michigan Lower Peninsula,RF,Unknown,Severe Weather - Winter/Snow/Ice,50,134288,Michigan
January,1/4/2008 4:00,1/4/2008 17:00,Northern California,WECC,Unknown,Severe Weather - Winter/Snow/Ice,500,2606931,California
January,1/4/2008 7:47,1/4/2008 16:30,Sacramento County,WECC,Unknown,Severe Weather - Unspecified/Other,300,150000,California
January,1/29/2008 0:48,1/29/2008 23:23,"South Metropolitan Areas of Dayton, OHio",RF,Unknown,Severe Weather - Wind,1864,163909,Ohio
January,1/29/2008 5:00,1/29/2008 12:17,"San Francisco Bay Area, California",WECC,Unknown,Equipment Failure,1464,110000,California
January,1/29/2008 8:00,1/29/2008 16:00,"Arkansas, Mississippi, North Louisiana",SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,1543,86915,"Arkansas,Mississippi,Louisiana"
January,1/29/2008 18:30,1/29/2008 22:00,Southeastern Michigan,RF,Unknown,Severe Weather - Winter/Snow/Ice,380,45000,Michigan
January,1/30/2008 3:06,1/30/2008 14:50,"Western, New York",NPCC,Unknown,Severe Weather - Wind,50,54316,New York
February,2/1/2008 6:00,2/1/2008 7:49,"San Francisco Bay Area, California",WECC,Unknown,Equipment Failure,439,54510,California
February,2/2/2008 3:58,2/2/2008 16:27,"San Francisco Bay Area, California",WECC,Unknown,Equipment Failure,745,101433,California
February,2/5/2008 3:00,2/5/2008 22:00,State of Kentucky,SERC,Unknown,Severe Weather - Unspecified/Other,906,76000,Kentucky
February,2/6/2008 9:00,2/6/2008 11:00,Mid to West Tennessee,SERC,Unknown,Severe Weather - Unspecified/Other,484,57000,Tennessee
February,2/9/2008 11:59,2/9/2008 15:33,"Near Arnold, California",WECC,Unknown,Unknown/Unspecified,0,0,California
February,2/10/2008 4:00,2/10/2008 20:43,"Southwestern Pennsylvania, West Virginia, Virginia, Maryland","RF,SERC",Unknown,Severe Weather - Unspecified/Other,412,100969,"Pennsylvania,Virginia,West Virginia,Maryland"
February,2/10/2008 4:00,2/10/2008 18:02,"Greenboro, North Carolina and I-40 Corridor",SERC,Unknown,Severe Weather - Wind,737,212560,North Carolina
February,2/10/2008 11:00,2/10/2008 23:36,"Virginia, West Virginia, Ohio, Pennsylvania","RF,SERC",Unknown,Severe Weather - Wind,791,97342,"Virginia,West Virginia,Ohio,Pennsylvania"
February,2/10/2008 11:00,2/10/2008 17:05,Virginia and West Virginia Area of AEP,"RF,SERC",Unknown,Severe Weather - Wind,170,114618,"Virginia,West Virginia"
February,2/10/2008 14:06,2/10/2008 23:36,Dominion Service Territory,SERC,Unknown,Severe Weather - Wind,300,50718,"North Carolina,South Carolina,Virginia"
February,2/12/2008 15:00,2/12/2008 17:00,"Arkansas, Mississippi, Louisiana",SERC,Unknown,Severe Weather - Unspecified/Other,541,54000,"Arkansas,Mississippi,Louisiana"
February,2/13/2008 12:00,2/13/2008 18:43,State of Maine,NPCC,Unknown,Severe Weather - Winter/Snow/Ice,50,50462,Maine
February,2/14/2008 8:15,2/14/2008 10:46,Utah,WECC,Unknown,Unknown/Unspecified,2818,74031,Utah
February,2/15/2008 15:06,2/15/2008 19:36,"Antioch, California",WECC,Unknown,Unknown/Unspecified,10,10008,California
February,2/25/2008 8:00,2/25/2008 8:00,Restricted Coal Capability,RF,Unknown,Generation Inadequacy Load/Fuel/Supply,277,0,
February,2/26/2008 5:00,2/26/2008 15:00,Southern Service Area/Alabama and Georgia,SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,484,145380,"Alabama,Georgia"
February,2/26/2008 13:09,2/26/2008 16:11,Primary Dade County Florida,SERC,Unknown,Equipment Failure,3200,584384,Florida
February,2/26/2008 13:09,2/26/2008 14:10,Various Cities in Florida,SERC,Unknown,Unknown/Unspecified,140,47661,Florida
February,2/26/2008 13:09,2/26/2008 14:40,Tampa Electric Service Territory,SERC,Unknown,Unknown/Unspecified,318,53965,Florida
February,2/26/2008 13:09,2/26/2008 13:47,FRCC Region-West Coast Florida,SERC,Unknown,Unknown/Unspecified,120,56000,Florida
February,2/26/2008 13:10,2/26/2008 15:45,"The entire PEF system was affected, including the following counties: Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osecola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla.",SERC,Unknown,Unknown/Unspecified,500,150000,Florida
March,3/4/2008 21:30,3/4/2008 22:45,North and South Carolina,SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,300,55267,"North Carolina,South Carolina"
March,3/8/2008 13:44,3/8/2008 16:00,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RF,Unknown,Severe Weather - Unspecified/Other,210,141130,"Delaware,Pennsylvania"
March,3/8/2008 14:14,3/8/2008 21:59,Virginia and Eastern Part of North Carolina,SERC,Unknown,Severe Weather - Wind,424,168449,Virginia
March,3/15/2008 20:30,3/15/2008 20:55,Parts of Alabama and Georgia,SERC,Unknown,Severe Weather - Unspecified/Other,200,157744,"Alabama,Georgia"
April,4/4/2008 12:31,4/4/2008 17:00,"Arkansas, North Louisiana, Mississippi",SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,426,122600,"Arkansas,Louisiana,Mississippi"
April,4/9/2008 1:15,4/9/2008 16:00,"North, Central and East Texas","TRE,SPP,WECC",Unknown,Severe Weather - Unspecified/Other,513,488689,Texas
May,5/8/2008 0:56,5/8/2008 10:21,California,WECC,Unknown,Unknown/Unspecified,483,0,California
May,5/11/2008 6:00,5/11/2008 14:30,Georgia,SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,100,80539,Georgia
May,5/11/2008 16:50,5/11/2008 20:43,"City of Crawfordsville, Indiana",RF,Unknown,Unknown/Unspecified,47,9700,Indiana
May,5/12/2008 0:01,5/13/2008 0:00,"Cape May, Cumberland, Gloucester, Salem, Camden, Atlantic, Burliington  Counties, New Jersey",RF,Unknown,Severe Weather - Unspecified/Other,55,135000,New Jersey
May,5/27/2008 14:02,5/27/2008 15:52,South West Connecticut,NPCC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,130,56400,Connecticut
May,5/30/2008 9:30,5/30/2008 23:00,Northern and Western Counties of Illinois,RF,Unknown,Severe Weather - Unspecified/Other,316,109000,Illinois
May,5/30/2008 14:05,5/30/2008 20:00,South Louisiana,SERC,Unknown,Generation Inadequacy Load/Fuel/Supply,250,77039,Louisiana
May,5/30/2008 22:00,5/30/2008 23:59,"Northeastern Marion County, Indiana",RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,138,70000,Indiana
June,6/3/2008 17:00,6/3/2008 23:00,"Maryland, West Virginia, Virginia","RF,SERC",Unknown,Severe Weather - Unspecified/Other,634,157168,"Maryland,Virginia,West Virginia"
June,6/4/2008 1:00,6/4/2008 15:00,"Montgomery, Prince Georges,  Maryland, Washington, D.C.",RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,712,108000,"Maryland,District of Columbia"
June,6/4/2008 5:30,6/4/2008 15:00,Entire BGE Service Territory,RF,Unknown,Severe Weather - Unspecified/Other,657,249408,Maryland
June,6/4/2008 15:04,6/4/2008 21:30,Northern Virginia,SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,850,253800,Virginia
June,6/4/2008 15:14,6/4/2008 15:46,Island of Puerto Rico,PR,Unknown,Unknown/Unspecified,90,100948,Puerto Rico
June,6/6/2008 8:00,6/6/2008 15:18,Lower 2/3 of Michigan's Lower Peninsula,RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,100,358000,Michigan
June,6/8/2008 7:00,6/8/2008 9:30,The Entire ComEd Territory,"RF,SERC",Unknown,Severe Weather - Unspecified/Other,421,125000,Illinois
June,6/8/2008 18:00,6/8/2008 23:30,Southwestern Michigan (DECO Service Territory),RF,Unknown,Severe Weather - Unspecified/Other,500,150000,Michigan
June,6/9/2008 14:00,6/9/2008 19:00,Entergy System,SERC,Unknown,Generation Inadequacy Load/Fuel/Supply,300,19,"Arkansas,Louisiana,Mississippi,Texas"
June,6/9/2008 14:52,6/9/2008 20:25,"Area Around West Orange Switching Station, New Jersey",RF,Unknown,Fire/Wildfire,215,75654,New Jersey
June,6/10/2008 9:00,6/10/2008 23:00,All Six New England States,NPCC,Unknown,Severe Weather - Winter/Snow/Ice,400,68000,"Connecticut,Massachusetts,New Hampshire,Maine,Rhode Island,Vermont"
June,6/10/2008 11:00,6/10/2008 17:30,Upstate New York,NPCC,Unknown,Severe Weather - Unspecified/Other,300,19,New York
June,6/10/2008 11:30,6/10/2008 18:00,"Bergen, Essex and Hudson Counties, New Jersey",RF,Unknown,Severe Weather - Unspecified/Other,624,248800,New Jersey
June,6/10/2008 14:00,6/10/2008 18:00,Entergy System,SERC,Unknown,Generation Inadequacy Load/Fuel/Supply,583,198000,"Arkansas,Louisiana,Mississippi,Texas"
June,6/10/2008 15:59,6/10/2008 19:00,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,50,60000,"Delaware,Pennsylvania"
June,6/11/2008 13:15,6/11/2008 14:05,New York State,NPCC,Unknown,Unknown/Unspecified,200,61000,New York
June,6/12/2008 15:30,6/12/2008 16:00,East Central Iowa,RF,Unknown,Severe Weather - Rain/Wind/Flooding,200,21000,Iowa
June,6/15/2008 8:00,6/15/2008 20:00,The Entire ComEd Territory,"RF,SERC",Unknown,Severe Weather - Unspecified/Other,691,165000,Illinois
June,6/15/2008 19:06,6/15/2008 20:42,"City of Crawfordsville, Indiana",RF,Unknown,Unknown/Unspecified,57,9700,Indiana
June,6/16/2008 16:15,6/16/2008 23:19,Northern Virginia,SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,1000,115000,Virginia
June,6/17/2008 1:55,6/17/2008 20:35,Southwestern Public Service Company Operating in the Panhandle of Texas and New Mexico,TRE,Unknown,Unknown/Unspecified,774,234393,Texas
June,6/17/2008 9:01,6/17/2008 20:30,"North, Central and East Texas","TRE,SPP,WECC",Unknown,Severe Weather - Lightning/Thunderstorm/Hail,560,18000,Texas
June,6/17/2008 20:40,6/17/2008 23:00,"Texas Panhandle and Texas South Plains Regions, and Oklahoma Panhandle","MRO,TRE",Unknown,Severe Weather - Lightning/Thunderstorm/Hail,276,37330,"Texas,Texas,Oklahoma"
June,6/21/2008 15:09,6/21/2008 18:53,"Near Rogers Flat, California",WECC,Unknown,Unknown/Unspecified,3,477,California
June,6/22/2008 16:55,6/22/2008 17:05,Northwest Indiana,RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,650,123788,Indiana
June,6/23/2008 13:44,6/23/2008 13:45,Northcentral Indiana,RF,Unknown,Fire/Wildfire,425,112392,Indiana
June,6/23/2008 16:52,6/23/2008 23:28,"Pinellas County, Florida",SERC,Unknown,Equipment Failure,113,32593,Florida
June,6/26/2008 17:00,6/26/2008 21:30,Southeastern Michigan (DTE Service Territory),RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,522,53000,Michigan
June,6/27/2008 16:30,6/27/2008 17:30,"Omaha, Nebraska (Metro Area)",MRO,Unknown,Severe Weather - Wind,650,126000,Nebraska
July,7/1/2008 7:31,7/1/2008 12:00,"San Francisco Bay Area, California",WECC,Unknown,Equipment Failure,160,73717,California
July,7/2/2008 1:10,7/2/2008 19:36,Goleta and Santa Barbara Areas of Southern California,WECC,Unknown,Fire/Wildfire,125,239663,Colorado
July,7/2/2008 3:00,7/2/2008 20:00,Southeastern Michigan (DTE Service Territory),RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,709,118099,Michigan
July,7/2/2008 12:00,7/2/2008 15:00,Lower 2/3 of Michigan's Lower Peninsula,RF,Unknown,Severe Weather - Unspecified/Other,208,200000,Michigan
July,7/2/2008 16:00,7/2/2008 19:30,Restricted Hydroelectric Capability,WECC,Unknown,Generation Inadequacy Load/Fuel/Supply,119,37784,
July,7/2/2008 19:16,7/2/2008 23:28,"Santa Barbara County, California, near Goleta",WECC,Unknown,Fire/Wildfire,579,56000,California
July,7/7/2008 12:15,7/7/2008 17:00,ISO Balancing Area,WECC,Unknown,Severe Weather - Heat Wave,0,0,California
July,7/10/2008 14:22,7/10/2008 17:21,"San Francisco Bay Area, California",WECC,Unknown,Equipment Failure,240,88961,California
July,7/21/2008 0:49,7/21/2008 18:00,"Sioux City, Carroll, Des Moines, Iowa City, and Davenport Iowa, Rock Island, Moline, and Surrounding Area of Illinois","MRO,RF,SERC",Unknown,Severe Weather - Winter/Snow/Ice,170,185000,"Iowa,Illinois"
July,7/22/2008 3:00,7/22/2008 19:32,Indiana,RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,541,58000,Indiana
July,7/22/2008 3:00,7/22/2008 3:30,Southwest Ohio,RF,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,58,56000,Ohio
July,7/22/2008 5:09,7/22/2008 14:00,Texas Panhandle and Southeastern New Mexico,"MRO,TRE,WECC",Unknown,Generation Inadequacy Load/Fuel/Supply,362,101573,"Texas,New Mexico"
July,7/23/2008 4:00,7/23/2008 5:56,"Port Isabel, Harlingen, Weslaco, Pharr, San Benito, Mission, McAllen, Edinburg, Texas",TRE,Unknown,Natural Disasters - Earthquake/Hurricane/Tornado/Tropical,703,211266,Texas
July,7/24/2008 7:23,7/24/2008 17:41,"Bangor Hydro System, northern Maine",NPCC,Unknown,Unknown/Unspecified,180,110000,Maine
August,8/2/2008 5:30,8/2/2008 20:00,Georgia and Alabama,SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,400,131115,"Georgia,Alabama"
August,8/3/2008 1:30,8/3/2008 4:15,"Mississippi, Louisiana, Texas",SERC,Unknown,Severe Weather - Lightning/Thunderstorm/Hail,721,59500,"Mississippi,Louisiana,Texas"
